ASIN,Product name,Portfolio,,,
B0FBWP4QXK,Rice Flour,Khushi,,,
B0DTF8KCB2,Virgin Soyabean Flour,Khushi,,,
B0DTF8GHY5,Flax Seeds Flour,Khushi,,,
B0DTF72CGX,Flax Seeds Flour,Khushi,,,
B0FNWSQCVS,cake flour & baking flour combo,Khushi,,,
B0DRNV7KDP,Barnyard Whole Millet,Navneet,,,
B0DRNRVQ7V,Barnyard Whole Millet,Navneet,,,
B0DRP3X3BV,Browntop Whole Millet,Navneet,,,
B0DRP1LH7B,Browntop Whole Millet,Navneet,,,
B0FL71XBQM,Buckwheat Whole Millet,Navneet,,,
B0DRP1G5VF,Buckwheat Whole Millet,Navneet,,,
B0DRP1JCMR,Buckwheat Whole Millet,Navneet,,,
B0DRNTXP2V,Foxtail Whole Millet,Navneet,,,
B0DRNT1VZ4,Foxtail Whole Millet,Navneet,,,
B0DRNVQP5B,Kodo Whole Millet,Navneet,,,
B0DRNVBWR6,Kodo Whole Millet,Navneet,,,
B0DRNXDCPF,Little Whole Millet,Navneet,,,
B0DRNTTK3J,Little Whole Millet,Navneet,,,
B0DSFV9772,Little Foxtail Barnyard & Kodo Whole Millet,Navneet,,,
B0DRP1MKJN,Proso Whole Millet,Navneet,,,
B0DRNZS1B4,Proso Whole Millet,Navneet,,,
B0DRP11RKK,Quinoa Grains,Navneet,,,
B0DRNZD11D,Quinoa Grains,Navneet,,,
B0FBWHGSK4,Ragi Whole Millet,Navneet,,,
B0DRNW9ZXF,Ragi Whole Millet,Navneet,,,
B0DTFB8X5X,Tapioca Flour,Navneet,,,
